Week,Topic,Assignments,What Due?
1,Course Introduction,,
2,Introduction to C++ (ch1),1.1 Reading Assignment (ch1),
3,Introduction to C++ (ch1),"1.2 Reading Assignment (ch1) ",Project 1 Due
4,Variables / Assignments (ch2),2.1 Reading Assignment (ch2),Quiz 1 - ch1
5,Variables / Assignments (ch2),2.2 Reading Assignment (ch2),
6,Branches (ch3),3.1 Reading Assignment (ch3),Quiz 2 - ch2
7,Branches  (ch3),3.2 Reading Assignment (ch3),Project 2 Due
8,Loops (ch4),4.1 Reading Assignment (ch4),
9,Loops (ch4),4.2 Reading Assignment (ch4),Quiz 3 -  ch3
10,User-Defined Functions (ch5),5.1 Reading Assignment (ch5),Quiz 4 -  ch4
11,User-Defined Functions (ch5),5.2 Reading Assignment (ch5),Project 3 Due
12,Arrays / Vectors (ch6),6.1 Reading Assignment (ch6),
13,Arrays / Vectors (ch6),6.2 Reading Assignment (ch6),Project 4 Due
14,Thanksgiving,,
15,Objects and Classes (ch7),7.1 Reading Assignment (ch7),Quiz 5 -  ch5
16,Streams (ch8),8.1 Reading Assignment (ch8),Project 5 Due
17,Final Exam,,"Final Exam - All Chapters "
