Week,Topic,Textbook Reading,What Due?
1,[Course Introduction](course-introduction.md),,
,[C Review](c-review.md),[Modern Debugging](/articles/modern-debugging-acm.pdf),
2,Project 0 Introduction,,
,[Testing](testing.md),[Coverity](/articles/coverity-acm.pdf),
3,[Libraries](libraries.md),,
,Project 1 Introduction,,Project 0 Due
4,[Operating Systems Introduction](intro.md),[OSTEP ch2 - Introduction](http://pages.cs.wisc.edu/~remzi/OSTEP/intro.pdf),
,[The Process](cpu-intro.md),[OSTEP ch4 - Abstraction the process](http://pages.cs.wisc.edu/~remzi/OSTEP/cpu-intro.pdf),
5,[Process API](cpu-api.md),[OSTEP ch5 - Process API](http://pages.cs.wisc.edu/~remzi/OSTEP/cpu-api.pdf),
,Project 2 Introduction,,Project 1 Due
6,[Limited Direct Execution](cpu-mechanisms.md),[OSTEP ch6 - Limited Direct Execution](http://pages.cs.wisc.edu/~remzi/OSTEP/cpu-mechanisms.pdf),
,[Scheduling](cpu-sched.md),[OSTEP ch7 - Scheduling Introduction](http://pages.cs.wisc.edu/~remzi/OSTEP/cpu-sched.pdf),
7,[Address Spaces](vm-intro.md),[OSTEP ch13 - Address Spaces](https://pages.cs.wisc.edu/~remzi/OSTEP/vm-intro.pdf),
,Project 4 Introduction,,Project 2 Due
8,[Free Space Management](vm-freespace.md),[OSTEP ch17 - Free Space management](https://pages.cs.wisc.edu/~remzi/OSTEP/vm-freespace.pdf),
,[Paging](vm-paging.md),[OSTEP ch18 - Paging: Introduction](https://pages.cs.wisc.edu/~remzi/OSTEP/vm-paging.pdf),
9,[Concurrency](threads-intro.md),[OSTEP ch26 - Concurrency and Threads](https://pages.cs.wisc.edu/~remzi/OSTEP/threads-intro.pdf),
,Project 4 Introduction,,Project 3 Due
10,[Locks](threads-locks.md),[OSTEP ch28 - Locks](https://pages.cs.wisc.edu/~remzi/OSTEP/threads-locks.pdf),
,[Locked Data Structures](threads-locks-usage.md),[OSTEP ch29 - Locked Data Structures](https://pages.cs.wisc.edu/~remzi/OSTEP/threads-locks-usage.pdf),
11,[Condition Variables](threads-cv.md),[OSTEP ch30 - Condition Variables](https://pages.cs.wisc.edu/~remzi/OSTEP/threads-cv.pdf),
,Project 5 Introduction,,Project 4 Due
12,[Semaphores](threads-sema.md),[OSTEP ch31 - Semaphores](https://pages.cs.wisc.edu/~remzi/OSTEP/threads-sema.pdf),
,[Concurrency Bugs](threads-bugs.md),[OSTEP ch32 - Concurrency Bugs](https://pages.cs.wisc.edu/~remzi/OSTEP/threads-bugs.pdf),
13,[Event Based Concurrency](threads-events.md),[OSTEP ch33 - Event Based Concurrency](https://pages.cs.wisc.edu/~remzi/OSTEP/threads-events.pdf),
,Project 6 Introduction,,Project 5 Due
14,"Thanksgiving Break  ",,
,Thanksgiving Break,,
15,[I/O Devices](file-devices.md),[OSTEP ch36 - I/O Devices](https://pages.cs.wisc.edu/~remzi/OSTEP/file-devices.pdf),
,[Files and Directories](file-intro.md),[OSTEP ch39 - Files and Directories](https://pages.cs.wisc.edu/~remzi/OSTEP/file-intro.pdf),Project 6 Due
16,[Security](security-intro.md),[OSTEP ch53 - Security](https://pages.cs.wisc.edu/~remzi/OSTEP/security-intro.pdf),
,Bonus day,,
17,Final Exam,,
