Week,Day,Topic,Textbook Reading,What Due?
1,Tu,xref:1-course-introduction.adoc[Course Introduction],,
,Th,xref:2-c-review.adoc[C Review],xref:../articles/modern-debugging-acm.pdf[Modern Debugging],
2,Tu,xref:projects/p0.adoc[Project 0 Introduction],,
,Th,xref:3-testing.adoc[Testing],xref:../articles/coverity-acm.pdf[Coverity],
3,Tu,xref:4-libraries.adoc[Libraries],,
,Th,xref:projects/p1.adoc[Project 1 Introduction],,Project 0 Due
4,Tu,xref:intro.adoc[Operating Systems Introduction],http://pages.cs.wisc.edu/~remzi/OSTEP/intro.pdf[OSTEP ch2 - Introduction],
,Th,xref:cpu-intro.adoc[The Process],http://pages.cs.wisc.edu/~remzi/OSTEP/cpu-intro.pdf[OSTEP ch4 - Abstraction the process],
5,Tu,xref:cpu-api.adoc[Process API],"http://pages.cs.wisc.edu/~remzi/OSTEP/cpu-api.pdf[OSTEP ch5 - Process API] ",
,Th,xref:projects/p2.adoc[Project 2 Introduction],,Project 1 Due
6,Tu,xref:cpu-mechanisms.adoc[Limited Direct Execution],http://pages.cs.wisc.edu/~remzi/OSTEP/cpu-mechanisms.pdf[OSTEP ch6 - Limited Direct Execution],
,Th,xref:cpu-sched.adoc[Scheduling],http://pages.cs.wisc.edu/~remzi/OSTEP/cpu-sched.pdf[ OSTEP ch7 - Scheduling Introduction],
7,Tu,xref:vm-intro.adoc[Address Spaces],https://pages.cs.wisc.edu/~remzi/OSTEP/vm-intro.pdf[OSTEP ch13 - Address Spaces],
,Th,xref:projects/p3.adoc[Project 3 Introduction],,Project 2 Due
8,Tu,xref:vm-freespace.adoc[Free Space Management],https://pages.cs.wisc.edu/~remzi/OSTEP/vm-freespace.pdf[OSTEP ch17 - Free Space management],
,Th,xref:vm-paging.adoc[Paging],https://pages.cs.wisc.edu/~remzi/OSTEP/vm-paging.pdf[OSTEP ch18 - Paging: Introduction],
9,Tu,"xref:threads-intro.adoc[Concurrency] ",https://pages.cs.wisc.edu/~remzi/OSTEP/threads-intro.pdf[OSTEP ch26 - Concurrency and Threads],
,Th,xref:projects/p4.adoc[Project 4 Introduction],,Project 3 Due
10,Tu,xref:threads-locks.adoc[Locks],https://pages.cs.wisc.edu/~remzi/OSTEP/threads-locks.pdf[OSTEP ch28 - Locks],
,Th,xref:threads-locks-usage.adoc[Locked Data Structures],https://pages.cs.wisc.edu/~remzi/OSTEP/threads-locks-usage.pdf[OSTEP ch29 - Locked Data Structures],
11,Tu,xref:threads-cv.adoc[Condition Variables],https://pages.cs.wisc.edu/~remzi/OSTEP/threads-cv.pdf[OSTEP ch30 - Condition Variables],
,Th,xref:projects/p5.adoc[Project 5 Introduction],,Project 4 Due
12,Tu,xref:threads-sema.adoc[Semaphores],https://pages.cs.wisc.edu/~remzi/OSTEP/threads-sema.pdf[OSTEP ch31 - Semaphores],
,Th,xref:threads-bugs.adoc[ Concurrency Bugs],https://pages.cs.wisc.edu/~remzi/OSTEP/threads-bugs.pdf[OSTEP ch32 - Concurrency Bugs],
13,Tu,Event Based Concurrency,https://pages.cs.wisc.edu/~remzi/OSTEP/threads-events.pdf[OSTEP ch33 - Event Based Concurrency],
,Th,xref:projects/p6.adoc[Project 6 Introduction],,Project 5 Due
14,Tu,"Thanksgiving Break  ",,
,Th,Thanksgiving Break,,
15,Tu,xref:file-devices.adoc[I/O Devices],https://pages.cs.wisc.edu/~remzi/OSTEP/file-devices.pdf[OSTEP ch36 - I/O Devices],
,Th,xref:file-intro.adoc[Files and Directories],https://pages.cs.wisc.edu/~remzi/OSTEP/file-intro.pdf[OSTEP ch39 - Files and Directories],Project 6 Due
16,Tu,xref:security-intro.adoc[Security],https://pages.cs.wisc.edu/~remzi/OSTEP/security-intro.pdf[OSTEP ch53 - Security],
,Th,Bonus day,,
17,,Final Exam,,
